,name,similarity,tittle_resume,alternate_url,resume_url
0,Java-разработчик,0.9957523,Java-разработчик,https://hh.ru/vacancy/82343285,https://gorodrabot.ru/resume/5334430
1,Java-разработчик,0.99407804,Java-разработчик,https://hh.ru/vacancy/81360879,https://gorodrabot.ru/resume/5334430
2,Java-разработчик,0.9920779,Java-разработчик,https://hh.ru/vacancy/79178095,https://gorodrabot.ru/resume/5334430
3,Java разработчик (импортозамещение),0.98832744,Java-разработчик,https://hh.ru/vacancy/81407819,https://gorodrabot.ru/resume/5334430
4,Java-разработчик (backend),0.9882226,Java-разработчик,https://hh.ru/vacancy/81619446,https://gorodrabot.ru/resume/5334430
5,"Java Developer / Java разработчик (Middle, Middle+, Senior)",0.9865101,Java-разработчик,https://hh.ru/vacancy/81251169,https://gorodrabot.ru/resume/5334430
6,Разработчик JavaScript,0.9852482,Java-разработчик,https://hh.ru/vacancy/81524864,https://gorodrabot.ru/resume/5334430
7,Python-разработчик,0.9846216,Java-разработчик,https://hh.ru/vacancy/81512723,https://gorodrabot.ru/resume/5334430
8,JavaScript разработчик,0.98424983,Java-разработчик,https://hh.ru/vacancy/81362339,https://gorodrabot.ru/resume/5334430
9,Инженер-программист Java,0.98398316,Java-разработчик,https://hh.ru/vacancy/80804168,https://gorodrabot.ru/resume/5334430
