,name,similarity,tittle_resume,alternate_url,resume_url
0,Java-разработчик,0.647722731303185,Java-разработчик,https://hh.ru/vacancy/81111478,https://gorodrabot.ru/resume/5334430
1,Java разработчик,0.6394600066444373,Java-разработчик,https://hh.ru/vacancy/82141598,https://gorodrabot.ru/resume/5334430
2,Java-разработчик,0.6353173557683217,Java-разработчик,https://hh.ru/vacancy/81550354,https://gorodrabot.ru/resume/5334430
3,Java-разработчик,0.6350217022039174,Java-разработчик,https://hh.ru/vacancy/81595710,https://gorodrabot.ru/resume/5334430
4,Java разработчик,0.6345331834823492,Java-разработчик,https://hh.ru/vacancy/81715272,https://gorodrabot.ru/resume/5334430
5,Java-разработчик,0.6312103610200402,Java-разработчик,https://hh.ru/vacancy/81737627,https://gorodrabot.ru/resume/5334430
6,Java-разработчик,0.6260948281419199,Java-разработчик,https://hh.ru/vacancy/82286297,https://gorodrabot.ru/resume/5334430
7,Java-разработчик,0.6168013930311571,Java-разработчик,https://hh.ru/vacancy/75674993,https://gorodrabot.ru/resume/5334430
8,Java разработчик,0.6153326883868646,Java-разработчик,https://hh.ru/vacancy/81511896,https://gorodrabot.ru/resume/5334430
9,Java-разработчик,0.6152912501967012,Java-разработчик,https://hh.ru/vacancy/79894994,https://gorodrabot.ru/resume/5334430
