,name,similarity,tittle_resume,alternate_url,resume_url
0,Java разработчик,0.9799193072639283,Java-разработчик,https://hh.ru/vacancy/81444988,https://gorodrabot.ru/resume/5334430
1,Java-разработчик,0.9675990994485605,Java-разработчик,https://hh.ru/vacancy/81360879,https://gorodrabot.ru/resume/5334430
2,Java разработчик,0.9657895113236705,Java-разработчик,https://hh.ru/vacancy/78554763,https://gorodrabot.ru/resume/5334430
3,PHP Разработчик (Laravel),0.9643744548592466,Java-разработчик,https://hh.ru/vacancy/80107152,https://gorodrabot.ru/resume/5334430
4,Java разработчик (импортозамещение),0.9622687425642865,Java-разработчик,https://hh.ru/vacancy/81407819,https://gorodrabot.ru/resume/5334430
5,Java-разработчик,0.9581629011319744,Java-разработчик,https://hh.ru/vacancy/82343285,https://gorodrabot.ru/resume/5334430
6,Teamlead команды PHP разработки,0.9572494364549551,Java-разработчик,https://hh.ru/vacancy/81360465,https://gorodrabot.ru/resume/5334430
7,Java-разработчик (backend),0.9473785092390633,Java-разработчик,https://hh.ru/vacancy/81619446,https://gorodrabot.ru/resume/5334430
8,Data Analyst/Дата аналитик (Маркетплейс),0.9463820971676676,Java-разработчик,https://hh.ru/vacancy/81738156,https://gorodrabot.ru/resume/5334430
9,Разработчик backend Java (ДТРРБ),0.943398221782119,Java-разработчик,https://hh.ru/vacancy/82085317,https://gorodrabot.ru/resume/5334430
