,name,similarity,tittle_resume,alternate_url,resume_url
0,Java разработчик,0.99186546,Java разработчик,https://hh.ru/vacancy/79965094,https://gorodrabot.ru/resume/5334430
1,Java-разработчик,0.98990697,Java разработчик,https://hh.ru/vacancy/79972665,https://gorodrabot.ru/resume/5334430
2,Java-разработчик,0.9898047,Java разработчик,https://hh.ru/vacancy/79894994,https://gorodrabot.ru/resume/5334430
3,Java разработчик автоматизированных тестов,0.98920023,Java разработчик,https://hh.ru/vacancy/79615723,https://gorodrabot.ru/resume/5334430
4,Java-разработчик,0.98631823,Java разработчик,https://hh.ru/vacancy/79102330,https://gorodrabot.ru/resume/5334430
5,Java-разработчик,0.9861133,Java разработчик,https://hh.ru/vacancy/80081653,https://gorodrabot.ru/resume/5334430
6,Java-разработчик,0.98583853,Java разработчик,https://hh.ru/vacancy/79178095,https://gorodrabot.ru/resume/5334430
7,Java-разработчик,0.9846442,Java разработчик,https://hh.ru/vacancy/79662465,https://gorodrabot.ru/resume/5334430
8,Java разработчик (middle/middle+),0.984492,Java разработчик,https://hh.ru/vacancy/79699205,https://gorodrabot.ru/resume/5334430
9,Java-разработчик (Frontend),0.98370016,Java разработчик,https://hh.ru/vacancy/80176685,https://gorodrabot.ru/resume/5334430
